queryID	class	prob_class	order	prob_order	family	prob_family	genus	prob_genus	species	prob_species	bestHit_similarity	bestHit	protaxmod
OTU418	root	1	Rodentia	0.962810853776074	Rodentia,Muridae	0.9558764602127301	Rodentia,Muridae,Rattus	0.7760518065572132	Rodentia,Muridae,Rattus,unk	0.55283096127606135	0.944	Rattus_andamanensis_NC46686	weighted
OTU439	root	1	Rodentia	0.9968149829625155	Rodentia,Muridae	0.9950476833569541	Rodentia,Muridae,Niviventer	0.9641327368719008	Rodentia,Muridae,Niviventer,unk	0.5271527100635971	0.963	Niviventer_eha_MW193732	weighted
OTU443	root	1	Anura	0.9920760017149591	Anura,Ranidae	0.9717102652258954	Anura,Ranidae,Amolops	0.8301664965961745	Anura,Ranidae,Amolops,unk	0.8123548718452096	0.938	Amolops_chunganensis_MW115293	weighted
OTU474	root	1	Artiodactyla	0.9983499727941946	Artiodactyla,Suidae	0.9973643195210754	Artiodactyla,Suidae,Sus	0.995689128596619	Artiodactyla,Suidae,Sus,scrofa	0.9657403207570776	1	Sus_scrofa_KM224340	weighted
OTU478	root	1	Apodiformes	0.8019010963336941	Apodiformes,Apodidae	0.8018433615332358	Apodiformes,Apodidae,Apus	0.2943104842542226	Apodiformes,Apodidae,Aerodramus,brevirostris	0.2610743620944385	1	Aerodramus_brevirostris_JQ520012	weighted
OTU508	root	1	root,unk	0.9999994676131417	NA	NA	NA	NA	NA	NA	0.611	Bos_taurus_KM224229	weighted
OTU518	root	1	root,unk	0.9871786034922533	NA	NA	NA	NA	NA	NA	0.804	Bagarius_yarrelli_KP342264	weighted
OTU528	root	1	root,unk	0.7234079281198024	Artiodactyla,unk	0.1631622784690771	Artiodactyla,Cervidae,unk	0.06463688861357161	NA	NA	0.869	Hydropotes_inermis_MN746502	weighted
OTU541	root	1	Primates	0.9985023725648965	Primates,Hominidae	0.9660365587392262	Primates,Hominidae,Homo	0.7994790107686679	Primates,Hominidae,Homo,sapiens	0.7300180639564751	1	Homo_sapiens_KX779925	weighted
OTU554	root	1	Carnivora	0.9958775606783624	Carnivora,Canidae	0.9920639778266833	Carnivora,Canidae,Canis	0.6640571924547305	Carnivora,Canidae,Canis,lupus	0.5809265210044926	0.981	Canis_lupus_KU291079	weighted
OTU568	root	1	Artiodactyla	0.724136042675706	Artiodactyla,Bovidae	0.7018433836925008	Artiodactyla,Bovidae,Bos	0.46316913001016824	Artiodactyla,Bovidae,Bos,unk	0.46257850310038073	0.925	Bos_taurus_MZ901687	weighted
OTU584	root	1	Artiodactyla	0.9953664680847233	Artiodactyla,Bovidae	0.9946096105693427	Artiodactyla,Bovidae,Bos	0.9594299240703202	Artiodactyla,Bovidae,Bos,unk	0.9307173928891094	0.977	Bos_mutus_KM224233	weighted
OTU586	root	1	Anura	0.9992407114055828	Anura,Ranidae	0.9981744383684175	Anura,Ranidae,Amolops	0.9807450902723343	Anura,Ranidae,Amolops,bellulus	0.5668916993136212	0.978	Amolops_bellulus_DQ204429	weighted
OTU608	root	1	Artiodactyla	0.9987728735361983	Artiodactyla,Suidae	0.9976960082728168	Artiodactyla,Suidae,Sus	0.995889839924387	Artiodactyla,Suidae,Sus,scrofa	0.9657645611433441	1	Sus_scrofa_KM224340	weighted
OTU631	root	1	Artiodactyla	0.99837191676776	Artiodactyla,Suidae	0.9971865053155123	Artiodactyla,Suidae,Sus	0.9955500007188801	Artiodactyla,Suidae,Sus,scrofa	0.9656536977354062	1	Sus_scrofa_KM224340	weighted
OTU641	root	1	Artiodactyla	0.6769451693298023	Artiodactyla,Bovidae	0.6710819622944333	Artiodactyla,Bovidae,Bos	0.560285950323579	Artiodactyla,Bovidae,Bos,unk	0.5444963717957549	0.944	Bos_taurus_MZ901687	weighted
OTU642	root	1	Anura	0.9864580287898241	Anura,Ranidae	0.948522849267518	Anura,Ranidae,Amolops	0.7024001662308678	Anura,Ranidae,Amolops,unk	0.697411956844583	0.918	Amolops_viridimaculatus_AB211457	weighted
OTU655	root	1	Siluriformes	0.8173245638793265	Siluriformes,Sisoridae	0.7236090634803394	Siluriformes,Sisoridae,unk	0.32078954304955426	Siluriformes,Sisoridae,Pseudexostoma,unk	0.14464251420325877	0.901	Pseudexostoma_yunnanense_JQ026258	weighted
OTU683	root	1	root,unk	0.9769707167586056	NA	NA	NA	NA	NA	NA	0.827	Homo_sapiens_KX779925	weighted
OTU736	root	1	root,unk	0.9766194612483851	NA	NA	NA	NA	NA	NA	0.827	Homo_sapiens_KX779925	weighted
OTU742	root	1	root,unk	0.715687972216908	Chiroptera,unk	0.16786419325014085	NA	NA	NA	NA	0.85	Aproteles_bulmerae_U93066	weighted
OTU745	root	1	Rodentia	0.9969582255984382	Rodentia,Muridae	0.994936572586139	Rodentia,Muridae,Niviventer	0.93178824038496455	Rodentia,Muridae,Niviventer,unk	0.32191749273932624	0.963	Niviventer_confucianus_NC23960	weighted
OTU758	root	1	Rodentia	0.96498106461142	Rodentia,Muridae	0.9285487458483593	Rodentia,Muridae,Niviventer	0.590496836903529	Rodentia,Muridae,Niviventer,unk	0.5586752068503997	0.925	Niviventer_confucianus_NC23960	weighted
OTU770	root	1	Anura	0.9115111065706726	Anura,Ranidae	0.6662515347100303	Anura,Ranidae,unk	0.44520251965247876	Anura,Ranidae,Amolops,unk	0.19357891890928086	0.875	Amolops_viridimaculatus_AB211457	weighted
OTU840	root	1	root,unk	0.9917520723507642	NA	NA	NA	NA	NA	NA	0.794	Homo_sapiens_EU007893	weighted
OTU847	root	1	Soricomorpha	0.9308056290802846	Soricomorpha,Soricidae	0.9145428097997679	Soricomorpha,Soricidae,Episoriculus	0.5783419362613896	Soricomorpha,Soricidae,Episoriculus,unk	0.5602495329203864	0.925	Episoriculus_macrurus_GU981048	weighted
OTU882	root	1	Rodentia	0.5946537354893849	Rodentia,Muridae	0.5722948204606787	Carnivora,Mustelidae,Mustela	0.2809524053423496	Carnivora,Mustelidae,Mustela,unk	0.28089622047995466	0.926	Mustela_frenata_U78339	weighted
OTU895	root	1	Artiodactyla	0.842582246130845	Artiodactyla,Bovidae	0.7998820497473864	Artiodactyla,Bovidae,Budorcas	0.40200932263406985	Artiodactyla,Bovidae,Budorcas,unk	0.38359805744410536	0.916	Budorcas_taxicolor_MH049869	weighted
OTU933	root	1	Artiodactyla	0.9953894314540235	Artiodactyla,Suidae	0.9903296316600767	Artiodactyla,Suidae,Sus	0.984792027201666	Artiodactyla,Suidae,Sus,scrofa	0.8196359505896526	0.976	Sus_scrofa_KM224340	weighted
OTU935	root	1	Siluriformes	0.9411352684938217	Siluriformes,Sisoridae	0.9142270726826944	Siluriformes,Sisoridae,Bagarius	0.3522972498283256	Siluriformes,Sisoridae,Bagarius,unk	0.2812531853046489	0.922	Bagarius_yarrelli_KP342264	weighted
OTU993	root	1	Primates	0.9943043520567558	Primates,Hominidae	0.8824995500792744	Primates,Hominidae,Homo	0.8594032722931135	Primates,Hominidae,Homo,sapiens	0.5362627675887665	0.977	Homo_sapiens_KM224289	weighted
OTU1063	root	1	Soricomorpha	0.6262472611536319	Soricomorpha,Soricidae	0.6152269837502004	Soricomorpha,Soricidae,Nectogale	0.31514891683856555	Soricomorpha,Soricidae,Nectogale,unk	0.23812012636959073	0.925	Nectogale_elegans_NC23351	weighted
OTU1070	root	1	Artiodactyla	0.9988542668539885	Artiodactyla,Bovidae	0.998710601988869	Artiodactyla,Bovidae,Bos	0.9877740516997512	Artiodactyla,Bovidae,Bos,unk	0.8492913356522062	1	Bos_mutus_KM224233	weighted
OTU1108	root	1	root,unk	0.8723295518812975	Soricomorpha,unk	0.09275441291760039	NA	NA	NA	NA	0.848	Nectogale_elegans_NC23351	weighted
OTU1178	root	1	Galliformes	0.9963457630341648	Galliformes,Phasianidae	0.9962788805880267	Galliformes,Phasianidae,Phasianus	0.40374612581336555	Galliformes,Phasianidae,Phasianus,colchicus	0.39263297866211344	1	Phasianus_colchicus_EF027319	weighted
OTU1186	root	1	root,unk	0.9999943430860004	NA	NA	NA	NA	NA	NA	0.66	Mormopterus_planiceps_AY495457	weighted
OTU1199	root	1	root,unk	0.9970556232048055	NA	NA	NA	NA	NA	NA	0.765	Silurus_glanis_MT483611	weighted
OTU1236	root	1	Cypriniformes	0.9997793183537775	Cypriniformes,Balitoridae	0.9915530575981675	Cypriniformes,Balitoridae,Schistura	0.9820293333944744	Cypriniformes,Balitoridae,Schistura,longa	0.9635123243303753	1	Schistura_longa_KT213583	weighted
OTU1284	root	1	root,unk	0.9999995243461132	NA	NA	NA	NA	NA	NA	NA		weighted
OTU1305	root	1	root,unk	0.6756851945103087	Soricomorpha,unk	0.1581628627408516	Soricomorpha,Soricidae,unk	0.13301012843677018	NA	NA	0.867	Episoriculus_macrurus_GU981048	weighted
OTU1385	root	1	root,unk	0.87374736602703	Soricomorpha,unk	0.10058119170286982	NA	NA	NA	NA	0.848	Episoriculus_caudatus_GU981034	weighted
OTU1405	root	1	Primates	0.9943048293229593	Primates,Hominidae	0.8030992288538886	Primates,Hominidae,Homo	0.7835605020011462	Primates,Hominidae,Homo,sapiens	0.48893730908795485	0.977	Homo_sapiens_KM224289	weighted
OTU1415	root	1	Siluriformes	0.9629243758677299	Siluriformes,Sisoridae	0.9470724348189498	Siluriformes,Sisoridae,Creteuchiloglanis	0.29320595465036486	Siluriformes,Sisoridae,Pseudexostoma,unk	0.2558765953857735	0.93	Pseudexostoma_yunnanense_JQ026258	weighted
OTU1431	root	1	Artiodactyla	0.9988588216398302	Artiodactyla,Bovidae	0.9987162347325486	Artiodactyla,Bovidae,Bos	0.9878141561403648	Artiodactyla,Bovidae,Bos,unk	0.8493253079850743	1	Bos_mutus_KM224233	weighted
OTU1472	root	1	Artiodactyla	0.8346239623982704	Artiodactyla,Bovidae	0.79229221253024	Artiodactyla,Bovidae,Budorcas	0.34064990521839517	Artiodactyla,Bovidae,Budorcas,unk	0.32504878507317636	0.916	Budorcas_taxicolor_NC43930	weighted
OTU1476	root	1	Rodentia	0.708803458733608	Rodentia,Muridae	0.4752791325837325	Rodentia,Muridae,unk	0.47050909012743874	NA	NA	0.883	Hybomys_trivirgatus_MG701900	weighted
OTU1592	root	1	Artiodactyla	0.7469320961919255	Artiodactyla,Bovidae	0.7072755101191827	Artiodactyla,Bovidae,Budorcas	0.2753698984113521	Artiodactyla,Bovidae,Budorcas,unk	0.26275847887569154	0.916	Budorcas_taxicolor_NC43930	weighted
OTU1603	root	1	Siluriformes	0.5855709059685517	Siluriformes,Sisoridae	0.39170001500616497	Siluriformes,Sisoridae,unk	0.2689311177540696	NA	NA	0.882	Bagarius_yarrelli_KP342264	weighted
OTU1779	root	1	Primates	0.9954077567421403	Primates,Hominidae	0.9102074849690878	Primates,Hominidae,Homo	0.7458565421641039	Primates,Hominidae,Homo,sapiens	0.5214097906714202	0.981	Homo_sapiens_MF056632	weighted
OTU1825	root	1	Rodentia	0.5418050654912924	Rodentia,Muridae	0.3891766209406884	Rodentia,Muridae,unk	0.27025481656349837	Rodentia,Muridae,Niviventer,unk	0.0730654254627904	0.869	Niviventer_andersoni_MW193740	weighted
OTU1972	root	1	root,unk	0.5359298517911478	Soricomorpha,Soricidae	0.2924124422082576	Soricomorpha,Soricidae,unk	0.24290132210198517	NA	NA	0.877	Episoriculus_caudatus_GU981034	weighted
OTU1990	root	1	root,unk	0.6864554158637288	Soricomorpha,unk	0.16068328907148552	Soricomorpha,Soricidae,unk	0.13523517217267966	NA	NA	0.867	Episoriculus_leucops_NC56333	weighted
OTU2000	root	1	root,unk	0.8283023783657446	Siluriformes,unk	0.13880849911043075	NA	NA	NA	NA	0.85	Bagarius_yarrelli_KP342264	weighted
OTU2016	root	1	root,unk	0.9832845792197737	NA	NA	NA	NA	NA	NA	0.811	Nectogale_elegans_NC23351	weighted
OTU2082	root	1	Artiodactyla	0.7630047670082213	Artiodactyla,Bovidae	0.6617588925734811	Artiodactyla,Bovidae,unk	0.45092376014999186	Artiodactyla,Bovidae,Bos,unk	0.16553543472218185	0.892	Bos_taurus_KM224232	weighted
OTU2176	root	1	root,unk	0.9859607820181535	NA	NA	NA	NA	NA	NA	0.81	Nectogale_elegans_NC23351	weighted
OTU2215	root	1	Rodentia	0.705676755313137	Rodentia,Muridae	0.4732090603893636	Rodentia,Muridae,unk	0.4631362461693277	NA	NA	0.883	Hybomys_trivirgatus_MG701900	weighted
OTU2299	root	1	root,unk	0.9999995190021157	NA	NA	NA	NA	NA	NA	0.562	Oreoglanis_immaculatus_KP872690	weighted
OTU2301	root	1	root,unk	0.9925788735564938	NA	NA	NA	NA	NA	NA	0.797	Pygocentrus_nattereri_U33559	weighted
OTU2339	root	1	Artiodactyla	0.7538808102960728	Artiodactyla,Bovidae	0.7291753798363649	Artiodactyla,Bovidae,Bos	0.47298812335097556	Artiodactyla,Bovidae,Bos,unk	0.4700670193885174	0.925	Bos_taurus_HQ184045	weighted
OTU2429	root	1	Anura	0.999808870267615	Anura,Megophryidae	0.9992419494655912	Anura,Megophryidae,Megophrys	0.9769219671361524	Anura,Megophryidae,Megophrys,unk	0.8200237300969051	1	Megophrys_glandulosa_MK029761	weighted
OTU2468	root	1	root,unk	0.9999995243461132	NA	NA	NA	NA	NA	NA	NA		weighted
OTU2549	root	1	root,unk	0.513837608610956	Primates,unk	0.35897949827272246	NA	NA	NA	NA	0.888	Homo_sapiens_MN848587	weighted
OTU2614	root	1	Soricomorpha	0.5961893267670323	Soricomorpha,Soricidae	0.47330087185250314	Soricomorpha,Soricidae,unk	0.35499910877600477	Soricomorpha,Soricidae,Episoriculus,unk	0.11402244089544601	0.887	Episoriculus_caudatus_GU981034	weighted
